DEP,LIBGEO,P13_H2064,P13_H65P,P13_F2064,P13_F65P
1,L'Abergement-Clémenciat,218,58,206,67
1,L'Abergement-de-Varey,74,23,69,18
1,Ambérieu-en-Bugey,4077,933,4083,1357
1,Ambérieux-en-Dombes,476,123,476,126
1,Ambléon,35,9,32,13
1,Ambronay,730,173,727,196
1,Ambutrix,237,44,233,36
1,Andert-et-Condon,98,35,88,39
1,Anglefort,315,72,294,93
1,Apremont,121,28,114,18
1,Aranc,85,34,90,40
1,Arandas,42,15,40,18
1,Arbent,1014,236,994,272
1,Arbignieu,128,60,138,58
1,Arbigny,112,41,109,40
1,Argis,117,44,121,45
1,Armix,7,2,4,4
1,Ars-sur-Formans,412,65,410,106
1,Artemare,333,99,331,148
1,Asnières-sur-Saône,21,8,23,2
1,Attignat,947,189,947,212
1,Bâgé-la-Ville,899,203,924,174
1,Bâgé-le-Châtel,216,96,226,134
1,Balan,1457,93,688,93
1,Baneins,167,42,179,35
1,Beaupont,211,52,201,56
1,Beauregard,253,45,267,55
1,Bellignat,1106,210,1076,292
1,Béligneux,932,153,961,223
1,Bellegarde-sur-Valserine,3337,837,3256,1257
1,Belley,2401,717,2456,1149
1,Belleydoux,107,27,104,22
1,Belmont-Luthézieu,151,49,158,38
1,Bénonces,93,29,71,21
1,Bény,215,48,204,56
1,Béon,139,30,138,41
1,Béréziat,142,27,127,33
1,Bettant,219,57,218,72
1,Bey,85,17,79,15
1,Beynost,1227,354,1293,423
1,Billiat,161,45,166,38
1,Birieux,77,14,84,13
1,Biziat,239,56,245,54
1,Blyes,281,45,267,56
1,La Boisse,815,226,813,261
1,Boissey,87,26,90,19
1,Bolozon,30,9,29,10
1,Bouligneux,81,32,81,29
1,Bourg-en-Bresse,11447,3067,11491,5201
1,Bourg-Saint-Christophe,382,61,375,66
1,Boyeux-Saint-Jérôme,112,31,96,38
1,Boz,143,33,134,39
1,Brégnier-Cordon,234,67,221,84
1,Brénaz,28,8,22,14
1,Brénod,144,52,149,67
1,Brens,358,80,339,82
1,Bressolles,227,58,232,57
1,Brion,162,35,146,50
1,Briord,304,41,288,62
1,Buellas,478,140,497,163
1,La Burbanche,22,9,19,8
1,Ceignes,78,12,81,18
1,Cerdon,208,50,189,111
1,Certines,452,67,438,80
1,Cessy,1381,158,1454,170
1,Ceyzériat,866,201,860,338
1,Ceyzérieu,286,97,286,98
1,Chalamont,678,143,662,237
1,Chaleins,368,62,359,61
1,Chaley,40,18,39,19
1,Challes-la-Montagne,55,20,49,20
1,Challex,402,86,391,144
1,Champagne-en-Valromey,191,105,181,155
1,Champdor,137,30,138,27
1,Champfromier,218,53,210,53
1,Chanay,154,37,170,42
1,Chaneins,255,48,235,45
1,Chanoz-Châtenay,228,46,201,57
1,La Chapelle-du-Châtelard,113,24,114,25
1,Charix,85,28,71,30
1,Charnoz-sur-Ain,294,33,279,36
1,Château-Gaillard,555,115,577,121
1,Châtenay,99,29,95,32
1,Châtillon-en-Michaille,959,173,953,219
1,Châtillon-la-Palud,434,113,444,124
1,Châtillon-sur-Chalaronne,1264,468,1302,735
1,Chavannes-sur-Reyssouze,215,59,205,72
1,Chavannes-sur-Suran,182,44,184,47
1,Chaveyriat,305,59,279,69
1,Chavornay,62,16,69,21
1,Chazey-Bons,222,82,224,84
1,Chazey-sur-Ain,475,101,452,117
1,Cheignieu-la-Balme,46,15,36,22
1,Chevillard,56,9,46,15
1,Chevroux,295,48,263,61
1,Chevry,426,67,445,75
1,Chézery-Forens,138,33,121,42
1,Civrieux,446,88,426,83
1,Cize,39,17,40,28
1,Cleyzieu,42,10,41,7
1,Coligny,297,133,284,200
1,Collonges,669,66,630,89
1,Colomieu,39,11,32,18
1,Conand,34,8,29,10
1,Condamine,137,14,118,22
1,Condeissiat,224,55,231,67
1,Confort,148,62,156,91
1,Confrançon,400,84,383,86
1,Contrevoz,141,54,135,70
1,Conzieu,44,6,40,12
1,Corbonod,354,108,343,143
1,Corcelles,58,25,64,26
1,Corlier,36,12,32,5
1,Cormaranche-en-Bugey,222,72,232,77
1,Cormoranche-sur-Saône,307,92,298,82
1,Cormoz,192,72,171,77
1,Corveissiat,172,56,183,42
1,Courmangoux,144,53,139,50
1,Courtes,76,24,78,26
1,Crans,71,24,75,31
1,Cras-sur-Reyssouze,400,78,399,89
1,Cressin-Rochefort,122,30,112,32
1,Crottet,512,115,517,115
1,Crozet,629,85,625,88
1,Cruzilles-lès-Mépillat,248,64,224,62
1,Culoz,808,271,808,317
1,Curciat-Dongalon,127,53,111,65
1,Curtafond,199,53,198,79
1,Cuzieu,115,37,118,35
1,Dagneux,1277,220,1319,253
1,Divonne-les-Bains,2537,513,2725,704
1,Dommartin,245,82,239,76
1,Dompierre-sur-Veyle,360,70,329,97
1,Dompierre-sur-Chalaronne,107,21,118,26
1,Domsure,135,49,137,41
1,Dortan,592,126,556,158
1,Douvres,294,73,319,64
1,Drom,69,11,66,16
1,Druillat,319,125,295,135
